"CDX.NA.IG.HVOL.12","Untranched","Off","963,550,000","11","963,550,000","7","1,927,100,000","18",
"CDX.NA.IG.HVOL.13","Untranched","Off","386,110,000","9","302,110,000","6","688,220,000","15",
"CDX.NA.IG.HVOL.14","Untranched","Off","270,898,332","7","151,898,332","7","422,796,664","14",
"CDX.NA.IG.HVOL.8","Untranched","Off","613,950,000","10","175,000,000","1","788,950,000","11",
"CDX.NA.IG.HVOL.9","Untranched","Off","3,994,044,822","35","3,406,567,668","21","7,400,612,490","56",
"CDX.NA.IG.10","Tranched","Off","13,178,650,365","378","187,720,000","7","13,366,370,365","385",
"CDX.NA.IG.10","Untranched","Off","58,870,017,029","226","44,296,131,472","153","103,166,148,501","379",
"CDX.NA.IG.11","Tranched","Off","96,480,600","10","5,000,000","1","101,480,600","11",
"CDX.NA.IG.11","Untranched","Off","34,296,019,034","197","20,693,660,817","113","54,989,679,851","310",
"CDX.NA.IG.12","Tranched","Off","1,554,450,000","48","150,000,000","40","1,704,450,000","88",
"CDX.NA.IG.12","Untranched","Off","36,008,737,750","218","27,028,196,165","145","63,036,933,915","363",
"CDX.NA.IG.13","Tranched","Off","1,262,000,000","41","0","0","1,262,000,000","41",
"CDX.NA.IG.13","Untranched","Off","43,111,136,881","291","27,485,779,117","188","70,596,915,998","479",
"CDX.NA.IG.14","Untranched","Off","54,091,156,935","345","36,625,819,675","259","90,716,976,610","604",
"CDX.NA.IG.15","Tranched","Off","8,117,825,000","344","225,000,000","11","8,342,825,000","355",
"CDX.NA.IG.15","Untranched","Off","108,052,751,134","529","57,558,352,921","278","165,611,104,055","807",
"CDX.NA.IG.16","Untranched","Off","99,310,754,678","832","66,023,247,061","759","165,334,001,739","1,591",
"CDX.NA.IG.17","Tranched","Off","1,664,500,000","71","560,000,000","7","2,224,500,000","78",
"CDX.NA.IG.17","Untranched","Off","105,524,439,359","1,038","77,131,765,309","612","182,656,204,668","1,650",
"CDX.NA.IG.18","Untranched","Off","314,846,756,713","4,044","188,110,810,484","1,666","502,957,567,197","5,710",
"CDX.NA.IG.8","Tranched","Off","124,668,279,683","1,069","247,293,750","13","124,915,573,433","1,082",
"CDX.NA.IG.8","Untranched","Off","57,054,966,371","169","37,709,627,283","75","94,764,593,654","244",
"CDX.NA.IG.9","Tranched","Off","580,563,571,173","9,307","22,046,280,380","942","602,609,851,553","10,249",
"CDX.NA.IG.9","Untranched","Off","472,635,093,272","1,337","357,886,835,785","610","830,521,929,057","1,947",
"CDX.NA.XO.9","Untranched","Off","1,304,765,094","27","253,750,000","1","1,558,515,094","28",
"CMBX.NA.A.1","Untranched","Off","3,774,448,201","177","708,140,000","200","4,482,588,201","377",
"CMBX.NA.A.2","Untranched","Off","6,825,857,540","176","180,500,000","56","7,006,357,540","232",
"CMBX.NA.A.3","Untranched","Off","5,600,067,520","203","530,500,000","99","6,130,567,520","302",
"CMBX.NA.A.4","Untranched","Off","1,007,471,100","107","216,000,000","60","1,223,471,100","167",
"CMBX.NA.AA.1","Untranched","Off","1,714,486,000","108","328,370,000","84","2,042,856,000","192",
"CMBX.NA.AA.2","Untranched","Off","3,054,505,518","166","420,400,000","105","3,474,905,518","271",
"CMBX.NA.AA.3","Untranched","Off","3,351,988,910","185","427,940,000","87","3,779,928,910","272",
"CMBX.NA.AA.4","Untranched","Off","1,878,728,600","272","415,000,000","71","2,293,728,600","343",
"CMBX.NA.AAA.1","Untranched","Off","13,971,809,000","161","7,737,422,655","865","21,709,231,655","1,026",
"CMBX.NA.AAA.2","Untranched","Off","6,507,970,600","406","2,156,371,665","102","8,664,342,265","508",
"CMBX.NA.AAA.3","Untranched","Off","7,284,685,429","523","2,129,010,000","160","9,413,695,429","683",
"CMBX.NA.AAA.4","Untranched","Off","4,926,011,085","247","1,253,650,000","110","6,179,661,085","357",
"CMBX.NA.AJ.1","Untranched","Off","5,785,933,200","133","799,107,000","131","6,585,040,200","264",
"CMBX.NA.AJ.2","Untranched","Off","5,817,642,700","294","685,900,000","101","6,503,542,700","395",
"CMBX.NA.AJ.3","Untranched","Off","6,593,003,900","596","844,000,000","178","7,437,003,900","774",
"CMBX.NA.AJ.4","Untranched","Off","4,816,574,258","511","1,111,720,000","208","5,928,294,258","719",
"CMBX.NA.BB.2","Untranched","Off","177,885,300","14","0","0","177,885,300","14",
"CMBX.NA.BBB.1","Untranched","Off","1,898,082,925","61","642,300,000","87","2,540,382,925","148",
"CMBX.NA.BBB.2","Untranched","Off","2,609,326,571","51","141,500,000","17","2,750,826,571","68",
"CMBX.NA.BBB.3","Untranched","Off","2,025,244,642","38","90,000,000","25","2,115,244,642","63",
"CMBX.NA.BBB.4","Untranched","Off","263,354,500","24","10,000,000","4","273,354,500","28",
"CMBX.NA.BBB-.1","Untranched","Off","2,395,308,321","51","295,000,000","23","2,690,308,321","74",
"CMBX.NA.BBB-.2","Untranched","Off","2,474,100,074","64","330,000,000","29","2,804,100,074","93",
"CMBX.NA.BBB-.3","Untranched","Off","753,674,752","38","87,000,000","26","840,674,752","64",
"CMBX.NA.BBB-.4","Untranched","Off","197,004,800","20","44,940,000","12","241,944,800","32",
"DOW JONES CDX.NA.HY.6","Untranched","Off","404,250,000","17","31,000,000","1","435,250,000","18",
"DOW JONES CDX.NA.HY.7","Tranched","Off","5,591,937,190","153","42,500,000","2","5,634,437,190","155",
"DOW JONES CDX.NA.HY.7","Untranched","Off","5,428,487,272","73","77,362,500","7","5,505,849,772","80",
"DOW JONES CDX.NA.IG.HVOL.2","Untranched","Off","557,000,000","21","0","0","557,000,000","21",
"DOW JONES CDX.NA.IG.HVOL.3","Untranched","Off","1,555,101,586","29","115,000,000","4","1,670,101,586","33",
"DOW JONES CDX.NA.IG.HVOL.4","Untranched","Off","1,893,955,971","24","0","0","1,893,955,971","24",
"DOW JONES CDX.NA.IG.HVOL.7","Untranched","Off","966,420,230","11","0","0","966,420,230","11",
"DOW JONES CDX.NA.IG.1","Tranched","Off","283,462,500","12","0","0","283,462,500","12",
"DOW JONES CDX.NA.IG.1","Untranched","Off","1,237,250,000","22","0","0","1,237,250,000","22",
"DOW JONES CDX.NA.IG.2","Tranched","Off","2,454,836,150","87","83,315,000","3","2,538,151,150","90",
"DOW JONES CDX.NA.IG.2","Untranched","Off","4,842,632,165","46","625,000,000","1","5,467,632,165","47",
"DOW JONES CDX.NA.IG.3","Tranched","Off","11,256,907,007","271","107,500,000","4","11,364,407,007","275",
"DOW JONES CDX.NA.IG.3","Untranched","Off","12,980,491,693","69","650,000,000","2","13,630,491,693","71",
"DOW JONES CDX.NA.IG.4","Tranched","Off","10,618,527,185","406","258,155,000","23","10,876,682,185","429",
"DOW JONES CDX.NA.IG.4","Untranched","Off","26,439,406,902","100","62,500,000","3","26,501,906,902","103",
"DOW JONES CDX.NA.IG.5","Tranched","Off","48,244,034,936","794","792,193,750","67","49,036,228,686","861",
"DOW JONES CDX.NA.IG.5","Untranched","Off","39,889,399,680","175","1,142,625,000","8","41,032,024,680","183",
"DOW JONES CDX.NA.IG.6","Tranched","Off","90,976,281,279","805","921,000,000","18","91,897,281,279","823",
"DOW JONES CDX.NA.IG.6","Untranched","Off","65,740,402,072","218","1,664,449,065","19","67,404,851,137","237",
"DOW JONES CDX.NA.IG.7","Tranched","Off","147,281,659,723","999","499,281,600","19","147,780,941,323","1,018",
"DOW JONES CDX.NA.IG.7","Untranched","Off","133,580,719,319","353","2,340,244,367","19","135,920,963,686","372",
"ITRAXX ASIA EX-JAPAN HY SERIES 10","Untranched","Off","258,600,000","32","10,000,000","1","268,600,000","33",
"ITRAXX ASIA EX-JAPAN HY SERIES 11","Untranched","Off","87,000,000","11","0","0","87,000,000","11",
"ITRAXX ASIA EX-JAPAN HY SERIES 12","Untranched","Off","290,500,000","20","0","0","290,500,000","20",
"ITRAXX ASIA EX-JAPAN HY SERIES 8","Untranched","Off","2,994,450,500","251","245,000,000","23","3,239,450,500","274",
"ITRAXX ASIA EX-JAPAN HY SERIES 9","Untranched","Off","2,956,766,000","242","334,000,000","34","3,290,766,000","276",
"ITRAXX ASIA EX-JAPAN IG SERIES 10","Untranched","Off","2,551,000,000","188","649,500,000","51","3,200,500,000","239",
"ITRAXX ASIA EX-JAPAN IG SERIES 11","Untranched","Off","2,863,937,500","242","405,000,000","32","3,268,937,500","274",
"ITRAXX ASIA EX-JAPAN IG SERIES 12","Untranched","Off","4,986,500,000","273","455,000,000","83","5,441,500,000","356",
"ITRAXX ASIA EX-JAPAN IG SERIES 13","Untranched","Off","8,216,641,600","457","740,000,000","64","8,956,641,600","521",
"ITRAXX ASIA EX-JAPAN IG SERIES 14","Untranched","Off","11,398,500,000","477","988,000,000","61","12,386,500,000","538",
"ITRAXX ASIA EX-JAPAN IG SERIES 15","Untranched","Off","17,145,380,700","837","1,335,000,000","79","18,480,380,700","916",
"ITRAXX ASIA EX-JAPAN IG SERIES 16","Untranched","Off","16,442,050,000","993","1,228,000,000","83","17,670,050,000","1,076",
"ITRAXX ASIA EX-JAPAN IG SERIES 17","Untranched","Off","20,640,047,500","1,414","1,977,327,500","168","22,617,375,000","1,582",
"ITRAXX ASIA EX-JAPAN IG SERIES 8","Untranched","Off","3,517,500,000","200","190,000,000","18","3,707,500,000","218",
"ITRAXX ASIA EX-JAPAN IG SERIES 9","Untranched","Off","6,367,000,000","376","1,140,000,000","79","7,507,000,000","455",
"ITRAXX AUSTRALIA SERIES 10","Untranched","Off","3,117,123,800","157","1,047,500,000","44","4,164,623,800","201",
"ITRAXX AUSTRALIA SERIES 11","Untranched","Off","5,759,099,535","304","1,367,312,000","103","7,126,411,535","407",
"ITRAXX AUSTRALIA SERIES 12","Untranched","Off","6,659,200,000","324","1,735,000,000","77","8,394,200,000","401",
"ITRAXX AUSTRALIA SERIES 13","Untranched","Off","6,472,000,000","392","2,506,000,000","135","8,978,000,000","527",
"ITRAXX AUSTRALIA SERIES 14","Untranched","Off","12,200,549,600","505","4,020,500,000","218","16,221,049,600","723",
"ITRAXX AUSTRALIA SERIES 15","Untranched","Off","23,145,530,400","1,041","5,075,000,000","307","28,220,530,400","1,348",
"ITRAXX AUSTRALIA SERIES 16","Untranched","Off","15,499,205,000","780","3,258,820,000","192","18,758,025,000","972",
"ITRAXX AUSTRALIA SERIES 17","Untranched","Off","26,149,172,382","1,634","2,044,200,000","106","28,193,372,382","1,740",
"ITRAXX AUSTRALIA SERIES 8","Untranched","Off","3,922,950,000","178","455,150,000","37","4,378,100,000","215",
"ITRAXX AUSTRALIA SERIES 9","Untranched","Off","5,394,000,000","320","1,331,000,000","84","6,725,000,000","404",
"ITRAXX EUROPE CROSSOVER SERIES 1","Untranched","Off","573,709,844","17","40,246,674","3","613,956,518","20",
"ITRAXX EUROPE CROSSOVER SERIES 10","Untranched","Off","4,501,349,614","103","3,765,308,226","48","8,266,657,840","151",
"ITRAXX EUROPE CROSSOVER SERIES 11","Untranched","Off","4,919,523,517","99","3,748,574,914","63","8,668,098,431","162",
"ITRAXX EUROPE CROSSOVER SERIES 12","Untranched","Off","11,549,105,500","238","8,772,394,679","121","20,321,500,179","359",
"ITRAXX EUROPE CROSSOVER SERIES 13","Untranched","Off","12,284,249,283","339","7,779,137,657","209","20,063,386,940","548",
"ITRAXX EUROPE CROSSOVER SERIES 14","Untranched","Off","14,888,790,014","379","10,163,416,132","208","25,052,206,146","587",
"ITRAXX EUROPE CROSSOVER SERIES 15","Untranched","Off","22,446,737,399","635","14,185,932,249","283","36,632,669,648","918",
"ITRAXX EUROPE CROSSOVER SERIES 16","Untranched","Off","33,572,048,214","935","21,118,309,333","491","54,690,357,547","1,426",
"ITRAXX EUROPE CROSSOVER SERIES 17","Untranched","Off","85,716,390,762","5,435","31,703,872,218","1,887","117,420,262,980","7,322",
"ITRAXX EUROPE CROSSOVER SERIES 2","Untranched","Off","199,545,605","24","90,879,586","3","290,425,191","27",
"ITRAXX EUROPE CROSSOVER SERIES 3","Untranched","Off","243,395,007","17","6,491,399","2","249,886,406","19",
"ITRAXX EUROPE CROSSOVER SERIES 4","Untranched","Off","165,504,707","14","33,755,275","3","199,259,982","17",
"ITRAXX EUROPE CROSSOVER SERIES 5","Untranched","Off","399,091,211","11","0","0","399,091,211","11",
"ITRAXX EUROPE CROSSOVER SERIES 6","Untranched","Off","1,364,167,501","26","59,720,871","3","1,423,888,372","29",
"ITRAXX EUROPE CROSSOVER SERIES 7","Untranched","Off","3,277,460,430","63","315,481,991","3","3,592,942,421","66",
"ITRAXX EUROPE CROSSOVER SERIES 8","Untranched","Off","29,001,065,352","454","3,063,174,637","124","32,064,239,989","578",
"ITRAXX EUROPE CROSSOVER SERIES 9","Untranched","Off","8,288,115,855","192","5,259,249,266","130","13,547,365,121","322",
"ITRAXX EUROPE ENERGY SERIES 2","Untranched","Off","123,336,581","8","84,388,187","4","207,724,768","12",
"ITRAXX EUROPE HIVOL SERIES 1","Untranched","Off","196,364,820","10","51,931,192","2","248,296,012","12",
"ITRAXX EUROPE HIVOL SERIES 10","Untranched","Off","7,018,094,254","37","4,505,403,529","19","11,523,497,783","56",
"ITRAXX EUROPE HIVOL SERIES 11","Untranched","Off","2,913,188,447","43","1,840,660,620","22","4,753,849,067","65",
"ITRAXX EUROPE HIVOL SERIES 12","Untranched","Off","7,041,536,544","47","4,930,598,503","28","11,972,135,047","75",
"ITRAXX EUROPE HIVOL SERIES 13","Untranched","Off","5,328,462,706","53","3,451,653,559","32","8,780,116,265","85",
"ITRAXX EUROPE HIVOL SERIES 14","Untranched","Off","6,390,003,351","54","2,958,649,838","24","9,348,653,189","78",
"ITRAXX EUROPE HIVOL SERIES 15","Untranched","Off","2,498,418,671","38","1,732,077,603","30","4,230,496,274","68",
